Name,Party,Freq,State,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Eleven,Twelve,Thirteen,Fourteen,Senedd,Post,Years
John Griffiths,Labour,1,State School,Undergraduate,,Evening / Vocational Classes,Hospitality / Service / Retail,,,Private Law,,,,,,,Local Government & Non-Elected Political Work,Senedd,Assembly Member,20
Ann Jones,Labour,1,State School,,,Evening / Vocational Classes,,,,,Trade Unions,,Fire Services,,,,,Senedd,Deputy Presiding Officer,20
Bethan Sayed,Plaid Cymru,1,State School,Undergraduate,,,Hospitality / Service / Retail,Charity,,,,,,,Activism,,Local Government & Non-Elected Political Work,Senedd,"Shadow Minister for Housing, Poverty, Communities & Steel",12
Paul Davies,Conservatives,1,State School,,,,Hospitality / Service / Retail,,,,,,,Banking and Finance,,Business or Management,,Senedd,Leader of the Opposition,12
Mick Antoniw,Labour,1,State School,Undergraduate,,,,,Medicine & Medical Administration,Private Law,Trade Unions,,Academia,,Activism,,Local Government & Non-Elected Political Work,Senedd,Assembly Member,8
Rhun ap Iorwerth,Plaid Cymru,1,State School,Undergraduate,,,,,,Media & Creative Industries,,,,,,,,Senedd,Shadow Minister for Health and Social Care,6
Mohammad Asghar,Conservatives,1,State School,Undergraduate,Masters Degree,Evening / Vocational Classes,,,,,,,,Banking and Finance,,Business or Management,Local Government & Non-Elected Political Work,Senedd,Assembly Member,12
Gareth Bennett,UKIP,1,State School,,,,Hospitality / Service / Retail,,,Media & Creative Industries,,,,,,,,Senedd,Assembly Member,3
Hannah Blythyn ,Labour,1,State School,Undergraduate,,,Hospitality / Service / Retail,Charity,,,Trade Unions,,,,Activism,,Local Government & Non-Elected Political Work,Senedd,Assembly Member,3
Dawn Bowden,Labour,1,State School,,,Evening / Vocational Classes,Hospitality / Service / Retail,Science & Engineering,Medicine & Medical Administration,,Trade Unions,,,,Activism,,Local Government & Non-Elected Political Work,Senedd,Assembly Member,3
Michelle Brown,UKIP,1,State School,Undergraduate,Masters Degree,,,Science & Engineering,,Private Law,,,,,,,,Senedd,Assembly Member,3
Jayne Bryant,Labour,1,State School,Undergraduate,,,,,,,,,,,,,Local Government & Non-Elected Political Work,Senedd,Assembly Member,3
